"species","sea","status","group","Family","mean_MaxN","max_MaxN","n_presence","depth_range","min_depth","sbt_range","sbt_min","sbt_max","corals","artificial","gravel","macroalgae","rocks","seagrass","silt","sand","soft_corals","population","B_prime_std"
"Lethrinus variegatus","red","0","Natives - Red Sea","Lethrinidae",0.67479674796748,21,9,17.1,15.2,8,21,29,0,0,0,0,0,1,0,0.83,0,"Lethrinus variegatus_red",0.391
"Lethrinus xanthochilus","red","0","Natives - Red Sea","Lethrinidae",0.016260162601626,1,2,18.5,22.1,1,21,22,0,0,0,0,0,0,0,1,0,"Lethrinus xanthochilus_red",0.391
"Meiacanthus nigrolineatus","red","0","Natives - Red Sea","Blenniidae",0.016260162601626,1,2,4.6,15.5,0,22,22,0.5,0,0,0,0,1,0,1,0,"Meiacanthus nigrolineatus_red",0.881
"Muraena helena","med","0","Natives - Med. Sea","Muraenidae",0.0161290322580645,1,2,10.4,10.2,7,18,25,0,0,0,0.5,1,0,0,0.5,0,"Muraena helena_med",0.19
"Mycteroperca rubra","med","0","Natives - Med. Sea","Serranidae",0.0967741935483871,4,7,31.4,8.6,11,17,28,0,0,0.33,0.75,1,0,0,0.08,0,"Mycteroperca rubra_med",0.202
"Myrichthys maculosus","red","0","Natives - Red Sea","Ophichthidae",0.016260162601626,1,2,1.9,8.1,1,21,22,0.5,0.5,0.5,0,0.5,0,0,0,0,"Myrichthys maculosus_red",0.265
"Naso unicornis","red","0","Natives - Red Sea","Acanthuridae",0.0731707317073171,2,8,51.9,10.3,7,21,28,0.78,0,0,0.11,0,0.11,0,0.44,0,"Naso unicornis_red",0.383
"Nemipterus randalli","med","1","Lessepsians - Med. Sea","Nemipteridae",1.14516129032258,13,48,116,27,10,15,25,0,0,0,0,0.06,0,0.61,0.39,0.06,"Nemipterus randalli_med",0.762
"Nemipterus zysron","red","0","Natives - Red Sea","Nemipteridae",0.699186991869919,8,34,112.1,27.9,9,19,28,0.12,0.01,0,0.31,0.07,0.02,0.09,0.9,0.03,"Nemipterus zysron_red",0.551
"Odonus niger","red","0","Natives - Red Sea","Balistidae",0.731707317073171,52,9,26,10,5,21,26,0.98,0,0.01,0,0,0.21,0,0.71,0,"Odonus niger_red",0.5
"Ostracion cubicum","red","1","Lessepsians - Red Sea","Ostraciidae",0.016260162601626,1,2,52.2,15.5,1,22,23,0,0,0,0,0,0.5,0,1,0,"Ostracion cubicum_red",0.391
"Ostracion cyanurus","red","0","Natives - Red Sea","Ostraciidae",0.040650406504065,1,5,46,10.7,6,22,28,0.8,0,0,0,0,0.4,0,0.8,0,"Ostracion cyanurus_red",0.751
"Oxycheilinus digramma","red","0","Natives - Red Sea","Labridae",0.032520325203252,2,3,23.7,29.1,0,24,24,1,0,0,0,0,0,0,0.75,0,"Oxycheilinus digramma_red",0.479
"Oxycheilinus mentalis","red","0","Natives - Red Sea","Labridae",0.16260162601626,5,12,78.9,15.5,6,21,27,0.4,0,0,0,0,0.65,0.05,0.6,0,"Oxycheilinus mentalis_red",0.904
"Pagellus acarne","med","0","Natives - Med. Sea","Sparidae",2.33064516129032,104,11,111,30,8,16,24,0,0,0.01,0,0.36,0,0.99,0,0,"Pagellus acarne_med",0.728
"Pagellus erythrinus","med","0","Natives - Med. Sea","Sparidae",0.42741935483871,10,19,124.8,9.6,10,16,26,0,0,0.32,0.34,0.02,0,0.43,0.55,0.11,"Pagellus erythrinus_med",0.69
"Pagrus caeruleostictus","med","0","Natives - Med. Sea","Sparidae",0.209677419354839,4,15,44,5.6,13,17,30,0,0,0.19,0.58,0.77,0,0,0.42,0,"Pagrus caeruleostictus_med",0.411
"Parablennius zvonimiri","med","0","Natives - Med. Sea","Blenniidae",0.0161290322580645,1,2,3.7,10.1,4,24,28,0,0,0,0.5,1,0,0,0.5,0,"Parablennius zvonimiri_med",0.19
"Paracaesio sordida","red","0","Natives - Red Sea","Lutjanidae",0.130081300813008,13,2,5,110,2,20,22,0.81,0,0,0,0.19,0,0,0.19,0,"Paracaesio sordida_red",0.059
"Paracheilinus octotaenia","red","0","Natives - Red Sea","Labridae",3.61788617886179,117,16,49.6,10.5,5,21,26,0.97,0.03,0.03,0,0.03,0.12,0.02,0.16,0,"Paracheilinus octotaenia_red",0.105
"Parapercis somaliensis","red","0","Natives - Red Sea","Pinguipedidae",0.16260162601626,2,16,56.7,92.3,4,19,23,0.7,0,0,0,0.2,0,0.5,0.45,0,"Parapercis somaliensis_red",0.685
"Parupeneus cyclostomus","red","0","Natives - Red Sea","Mullidae",0.146341463414634,3,10,61.9,8.1,5,21,26,1,0.17,0,0,0.17,0.06,0,0.56,0,"Parupeneus cyclostomus_red",0.372
"Parupeneus forsskali","med","1","Lessepsians - Med. Sea","Mullidae",1.10483870967742,42,17,26.6,8.6,11,17,28,0,0,0.23,0.47,0.77,0,0,0.52,0,"Parupeneus forsskali_med",0.416
"Parupeneus forsskali","red","1","Lessepsians - Red Sea","Mullidae",2.05691056910569,47,32,86.3,8.1,8,21,29,0.26,0.07,0,0.04,0.21,0.43,0.01,0.86,0,"Parupeneus forsskali_red",0.958
"Parupeneus heptacanthus","red","0","Natives - Red Sea","Mullidae",1.00813008130081,20,40,124.6,16.4,8,21,29,0.21,0.1,0,0.2,0.1,0.17,0.01,0.91,0.04,"Parupeneus heptacanthus_red",0.714
"Parupeneus macronemus","red","0","Natives - Red Sea","Mullidae",0.471544715447154,8,22,52,8.1,8,21,29,0.76,0.03,0.02,0,0.09,0.33,0.03,0.72,0,"Parupeneus macronemus_red",0.698
"Parupeneus rubescens","red","0","Natives - Red Sea","Mullidae",0.0975609756097561,6,6,118.6,16.4,4,20,24,0.33,0,0,0,0.08,0.17,0.17,0.75,0,"Parupeneus rubescens_red",0.826
"Pervagor randalli","red","0","Natives - Red Sea","Monacanthidae",0.016260162601626,1,2,12.9,21.4,3,22,25,1,0,0,0,0,0,0.5,0,0,"Pervagor randalli_red",0.263
"Platax orbicularis","red","0","Natives - Red Sea","Ephippidae",0.016260162601626,1,2,14.6,36,1,24,25,1,0,0,0,0,0,0,0.5,0,"Platax orbicularis_red",0.263
"Plectropomus pessuliferus","red","0","Natives - Red Sea","Serranidae",0.032520325203252,1,4,103.7,10.3,5,21,26,1,0,0,0,0,0,0.25,0.75,0,"Plectropomus pessuliferus_red",0.373
"Pomacanthus imperator","red","1","Lessepsians - Red Sea","Pomacanthidae",0.032520325203252,1,4,50.1,10,3,21,24,0.25,0,0.25,0,0.25,0.25,0,0.75,0,"Pomacanthus imperator_red",0.881
"Pomacanthus maculosus","red","0","Natives - Red Sea","Pomacanthidae",0.024390243902439,1,3,18.7,26.8,6,22,28,1,0,0,0,0,0,0,0.33,0,"Pomacanthus maculosus_red",0.133
"Pomacentrus trichrourus","red","0","Natives - Red Sea","Pomacentridae",1.10569105691057,35,18,43.3,10.5,7,21,28,1,0,0,0,0,0.05,0.08,0.28,0,"Pomacentrus trichrourus_red",0.155
"Pseudanthias squamipinnis","red","0","Natives - Red Sea","Serranidae",0.178861788617886,19,2,10.9,10.5,1,25,26,1,0,0,0,0,0,0,0.14,0,"Pseudanthias squamipinnis_red",0.039
"Pseudanthias taeniatus","red","0","Natives - Red Sea","Serranidae",0.0569105691056911,5,3,33.2,20.1,2,22,24,0.86,0.14,0,0,0,0.14,0,0.29,0,"Pseudanthias taeniatus_red",0.109
