"PCoA1","PCoA2","species","group","plot_label","sea","status"
-0.0699023190961012,-0.0639744122486597,"Pomacanthus maculosus","Natives - Red Sea","Pomacanthus maculosus (RS)","red",0
-0.0564662599087989,-0.0161146090291844,"Pomacentrus trichrourus","Natives - Red Sea","Pomacentrus trichrourus (RS)","red",0
-0.120040117818146,-0.114069814909022,"Pseudanthias squamipinnis","Natives - Red Sea","Pseudanthias squamipinnis (RS)","red",0
-0.110725511167428,-0.0618108588636498,"Pseudanthias taeniatus","Natives - Red Sea","Pseudanthias taeniatus (RS)","red",0
-0.0561673065373133,0.00858362888789424,"Pseudobalistes fuscus","Natives - Red Sea","Pseudobalistes fuscus (RS)","red",0
-0.0839451811145228,-0.0719521244272397,"Pseudocheilinus evanidus","Natives - Red Sea","Pseudocheilinus evanidus (RS)","red",0
-0.126880018773912,-0.114555306277745,"Pseudochromis fridmani","Natives - Red Sea","Pseudochromis fridmani (RS)","red",0
-0.0971424741815367,0.00808018282102996,"Pseudochromis pesi","Natives - Red Sea","Pseudochromis pesi (RS)","red",0
-0.0759537461750895,-0.0229755736911946,"Pseudochromis springeri","Natives - Red Sea","Pseudochromis springeri (RS)","red",0
0.206676113609257,-0.070763675441977,"Pteragogus trispilus","Lessepsians - Med. Sea","Pteragogus trispilus (Med)","med",1
0.17603249811073,-0.0191707608506479,"Pterois miles","Lessepsians - Med. Sea","Pterois miles (Med)","med",1
0.00994028789815371,0.0930326083967582,"Pterois miles","Lessepsians - Red Sea","Pterois miles (RS)","red",1
-0.119693320418818,-0.0774326399740666,"Pygoplites diacanthus","Natives - Red Sea","Pygoplites diacanthus (RS)","red",0
0.0516937207998536,-0.149679485850176,"Raja clavata","Natives - Med. Sea","Raja clavata (Med)","med",0
-0.112995115546266,-0.0275214157271322,"Rhinecanthus assasi","Natives - Red Sea","Rhinecanthus assasi (RS)","red",0
0.0273890568873453,0.0631470926836473,"Rhinobatos punctifer","Natives - Red Sea","Rhinobatos punctifer (RS)","red",0
