"(Intercept)","scale(artificial)","scale(B_prime_std)","scale(corals)","scale(depth_range)","scale(gravel)","scale(macroalgae)","scale(mean_MaxN)","scale(min_depth)","scale(n_presence)","scale(rocks)","scale(sand)","scale(sbt_max)","scale(sbt_min)","scale(sbt_range)","scale(seagrass)","scale(silt)","df","logLik","AICc","delta","weight"
-2.88885284712088,NA,NA,-1.3113204356943,NA,NA,0.413113246785786,NA,-1.21239562182184,NA,NA,NA,NA,NA,NA,NA,0.164696954938335,6,-38.9065921197864,90.5190665925139,2.32804871487737,0.000839029793766697
-2.83828880596704,NA,NA,-1.44927206718643,0.460838714077676,0.219963092622631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-40.0158006925419,90.5316013850837,2.34058350744718,0.000833787705834736
-2.85738781946829,NA,NA,-1.24030488336834,NA,NA,0.415019592984165,NA,-1.0668619844768,NA,NA,NA,NA,NA,NA,0.0633758381980961,NA,6,-38.9198933974477,90.5456691478366,2.35465127020004,0.00082794351976984
-2.81567865106001,NA,NA,-1.39614985866264,0.338332376720882,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193082314445523,NA,NA,5,-40.0266780349626,90.5533560699252,2.36233819228863,0.000824767458548297
-2.85789191153496,NA,NA,-1.28226458136873,NA,NA,0.395256174973269,NA,-1.09279131596198,NA,-0.0324973763560585,NA,NA,NA,NA,NA,NA,6,-38.9338423094783,90.5735669718978,2.38254909426124,0.000816474782606626
-2.86613404186508,NA,NA,-1.28657188297735,NA,0.0279551709440048,0.400656876355539,NA,-1.09470525472752,NA,NA,NA,NA,NA,NA,NA,NA,6,-38.9355562714042,90.5769948957495,2.38597701811298,0.000815076574495825
-2.86469635360168,NA,NA,-1.2822763135695,NA,NA,0.398423936628263,NA,-1.10007940524939,NA,NA,NA,NA,NA,NA,NA,NA,6,-38.9378117682593,90.5815058894598,2.39048801182324,0.000813240243543198
-2.81130188960468,NA,NA,-1.34057111904225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487105813029587,NA,NA,-0.644565156710188,5,-40.044280385094,90.588560770188,2.39754289255148,0.000810376640645894
-2.79548956069442,NA,NA,-1.38832122899575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.360680687101313,NA,-0.406040106339573,5,-40.0588074164774,90.6176148329549,2.42659695531835,0.000798689369963022
-3.03214817783751,NA,0.273274744170171,-1.51566644019694,NA,NA,NA,0.373220822597794,-0.655087110760456,NA,NA,NA,NA,NA,NA,NA,NA,6,-38.9729228374857,90.6517280279126,2.46071015027607,0.000785181969486658
-2.86205929854186,NA,NA,-1.57842696844853,0.448575985783857,NA,NA,NA,NA,NA,NA,-0.222568937412119,NA,NA,NA,NA,NA,5,-40.0830290229799,90.6660580459599,2.47504016832333,0.000779576240122755
-2.77862685186853,NA,NA,-1.37343962356617,0.459968188606751,NA,NA,NA,-0.652571459758209,NA,-0.253647000053239,NA,NA,NA,NA,NA,NA,6,-38.9809630673144,90.6678084875699,2.47679060993339,0.000778894237273371
-2.82448241768817,NA,NA,-1.42432547291232,0.348730196301977,NA,NA,NA,NA,0.114967646903979,NA,NA,NA,NA,NA,NA,NA,5,-40.0886766263067,90.6773532526134,2.48633537497685,0.000775185911841157
-2.79714332825477,NA,0.447306343070683,-1.36278771533008,NA,NA,NA,NA,NA,NA,-0.391883014846758,NA,NA,NA,NA,NA,NA,5,-40.0932910678967,90.6865821357935,2.49556425815693,0.000771617102094178
-2.9128435169868,NA,NA,-1.70700548276197,0.432644883092205,NA,NA,NA,-0.810073508451502,NA,NA,-0.406392370016258,NA,NA,NA,NA,NA,6,-38.9949362104074,90.695754773756,2.50473689611948,0.000768086322761663
-2.81936943713079,NA,0.114809476555826,-1.37930506678865,0.382943954784719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-40.1097644923072,90.7195289846143,2.5285111069778,0.000759010051834323
-2.73369965051331,NA,NA,-1.23825777572844,0.621505563479241,NA,NA,NA,NA,NA,-0.252637987388826,NA,NA,NA,NA,NA,-0.662529376118651,6,-39.0121859095399,90.730254172021,2.53923629438448,0.000754950683409436
-2.79344647539048,-0.0960499587682098,NA,-1.37959746726521,0.441853877943566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-40.1258371183773,90.7516742367547,2.56065635911814,0.000746908281223645
-2.80643120867895,NA,NA,-1.30319267907376,0.505874118342032,NA,NA,NA,-0.46866194192389,NA,NA,NA,NA,NA,NA,NA,-0.464398185505183,6,-39.0240272976322,90.7539369482055,2.56291907056897,0.000746063740091629
-2.79443055513775,NA,NA,-1.35711259967203,NA,NA,0.224120061325045,NA,NA,0.22425425287793,NA,NA,NA,NA,NA,NA,NA,5,-40.1314456610916,90.7628913221832,2.57187344454671,0.000742730939574397
-2.70120822326406,NA,NA,-1.25795983141589,NA,NA,0.273472681768855,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.371047619141694,5,-40.1425949513068,90.7851899026137,2.59417202497715,0.000734496008897825
-2.79428564318985,NA,NA,-1.40253832309905,0.457322265218372,NA,NA,NA,NA,NA,NA,NA,NA,0.0485691242050816,NA,NA,NA,5,-40.1441368813436,90.7882737626872,2.5972558850507,0.000733364340141056
-2.78887747986936,NA,NA,-1.33558438143415,NA,NA,0.209339646071609,NA,NA,NA,NA,NA,NA,NA,0.276143227077156,NA,NA,5,-40.1566169346874,90.8132338693747,2.62221599173822,0.000724268788593622
-2.80017875772098,NA,NA,-1.50136567905269,NA,NA,NA,NA,NA,0.299376125443834,-0.259187979892246,NA,NA,NA,NA,NA,NA,5,-40.1630395068019,90.8260790136037,2.63506113596718,0.00071963202597839
-3.01920872168745,NA,NA,-1.56021762250225,NA,NA,NA,0.322697555973992,-0.720770145509255,NA,NA,NA,NA,-0.267476005795814,NA,NA,NA,6,-39.0634729247548,90.8328282024509,2.64181032481434,0.000717207652695479
-2.84220322172493,NA,NA,-1.43074138324955,0.450250030672274,NA,NA,0.336026360309504,NA,NA,-0.359032251530709,NA,NA,NA,NA,NA,NA,6,-39.0660909012418,90.8380641554248,2.64704627778825,0.000715332475580266
-2.81524296556185,-0.220270602688559,NA,-1.35051292719381,0.415759725863642,NA,NA,NA,-0.799786929955168,NA,NA,NA,NA,NA,NA,NA,NA,6,-39.0753242409028,90.8565308347468,2.66551295711032,0.000708757966907342
